Organisation,Address,suburb,Website,latitude,longitude
@workspaces,"Level 5, 171 Collins Street, Melbourne 3000",Melbourne (CBD),https://www.atworkspaces.com/locations/melbourne,-37.815447,144.968789
25 King Collective,"25 King Street, Melbourne 3000",Melbourne (CBD),https://www.25king.com.au/,-37.81984,144.95703
360 Collins,"360 Collins Street, Melbourne 3000",Melbourne (CBD),https://officespace.com.au/melbourne/153369/,-37.816002,144.962311
ACMI X,"Level 4, 2 Kavanagh Street, Southbank 3006",Southbank,https://www.acmi.net.au/acmi-x/,-37.8218014,144.9675938
Agnes Health,"49 Agnes Street, East Melbourne 3002",East Melbourne,http://www.agneshealth.com,-37.8172187,144.9798861
AIM Business Centres,"Level 2, 19 – 21 Argyle Street, Carlton 3053",Carlton,http://www.office.aimbc.com.au,-37.803664,144.965706
Altitude Coworking,"Level 7, 575 Bourke Street, Melbourne 3000",Melbourne (CBD),https://altitudecowork.com.au,-37.8165,144.956682
Bank House,"11-19 Bank Place, Melbourne 3000",Melbourne (CBD),https://officespace.com.au/melbourne/106620/,-37.81658,144.96023
Chantilly Studio Inc.,"Level 9, 37 Swanston Street, Melbourne 3000",Melbourne (CBD),http://www.creativespaces.net.au/find-a-space/chantilly-studio-in-the-nicholas-building,-37.816743,144.966758
Clik Collective,"2 Chelmsford Street, Kensington 3031",Kensington,http://clikcollective.com.au,-37.7964148,144.9316956
Creative Cubes,"333 Drummond Street, Carlton 3053",Carlton,https://creativecubes.co/locations/carlton/,-37.798057,144.968231
co171ns,"171 Collins Street, Level 5, Melbourne 3000",Melbourne (CBD),https://officespace.com.au/melbourne/76647/,-37.81524,144.96818
Dimension5,"Level 1, 10 Dorcas Street, South Melbourne 3205",Southbank,http://www.dimension5hub.com.au,-37.8299056,144.9699339
Electron Workshop,"31 Arden Street, North Melbourne, 3051",North Melbourne,http://www.electronworkshop.com.au/,-37.8013156,144.9506995
Framework Melbourne,"Suite 1, Level 1, 458 Swanston Street, Carlton 3053",Carlton,http://www.framework.melbourne,-37.8061568,144.9633622
Hatch Quarter,"7/677 La Trobe Street, Docklands 3008",Docklands,http://www.hatchquarter.com.au/,-37.8146,144.94731
HQ Workspace,"Level 4, 10 St. Andrews Place, East Melbourne, VIC 3002",East Melbourne,https://www.hq-workspace.com/,-37.81183,144.97671
